names,places,links,imgs,scores,address,ranks
家润福购物广场,玉山,https://you.ctrip.com/shopping/yushan1013/2101556.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,3.0,冰溪镇新建路159-001号(阳光金鼎),9
绝味鸭脖(玉山将军庙店),玉山,https://you.ctrip.com/shopping/yushan1013/1989308.html,https://dimg04.c-ctrip.com/images/1007180000014cxeaE0CE_C_220_140.jpg,,横路街与解放路交叉口东南50米,10
田园牧歌篝火晚会,玉山,https://you.ctrip.com/shopping/yushan1013/2083173.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M02/B3/FD/CghzgFW7TBWACDwHAABCr2lgBIY364_C_220_140.jpg,4.0,三清乡三清山田园牧歌度假村内,11
珍爱鲜花(上饶玉山店),玉山,https://you.ctrip.com/shopping/yushan1013/1957703.html,https://dimg04.c-ctrip.com/images/100e180000013rhzq125A_C_220_140.jpg,,江西上饶玉山县三清大道603号,12
大观园购物广场,玉山,https://you.ctrip.com/shopping/yushan1013/2094778.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,5.0,上饶市玉山县大观园超市二楼,13
好邻居便利店,玉山,https://you.ctrip.com/shopping/yushan1013/3640008.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,十字街229号附近,14
玉汽购物广场,玉山,https://you.ctrip.com/shopping/yushan1013/1949970.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M09/B3/FD/CghzgFW7TBOAaqc_AAA9FJcymtg610_C_220_140.jpg,,人民大道与秀峰路交叉口北100米,15
百盛超市,玉山,https://you.ctrip.com/shopping/yushan1013/3230309.html,https://dimg04.c-ctrip.com/images/10041700000128nhlCD09_C_220_140.jpg,,上饶市玉山县,16
百惠超市,玉山,https://you.ctrip.com/shopping/yushan1013/3943167.html,https://dimg04.c-ctrip.com/images/1006170000012aaic8596_C_220_140.jpg,,江西省上饶市玉山县冰溪镇金山大桥恒信广场,17
惠民超市(枫林分店),玉山,https://you.ctrip.com/shopping/yushan1013/4044906.html,https://dimg04.c-ctrip.com/images/100e170000012cf6i3AAC_C_220_140.jpg,,江西省上饶市玉山县枫林办事处三清山枫林中心幼儿园附近,18
兴隆大家庭,玉山,https://you.ctrip.com/shopping/yushan1013/3563795.html,https://dimg04.c-ctrip.com/images/100i1700000128hkj2408_C_220_140.jpg,,江西省上饶市玉山县仙岩镇八都街仙岩中心小学东150米,19
易捷便利店(玉紫线),玉山,https://you.ctrip.com/shopping/yushan1013/3192499.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,端明路与玉紫线交叉口南200米,20
易捷便利店,玉山,https://you.ctrip.com/shopping/yushan1013/3690568.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,上饶市玉山县,21
人民商场,玉山,https://you.ctrip.com/shopping/yushan1013/2325772.html,https://dimg04.c-ctrip.com/images/100b180000013rlmrD21C_C_220_140.jpg,,解放中路,22
NIKE(新家门路店),玉山,https://you.ctrip.com/shopping/yushan1013/1999722.html,https://dimg04.c-ctrip.com/images/100m170000012j1vg99F8_C_220_140.jpg,,新家门路21号,23
心连心超市,玉山,https://you.ctrip.com/shopping/yushan1013/3349663.html,https://dimg04.c-ctrip.com/images/100k170000012duos4A3F_C_220_140.jpg,,655县道附近,24
世纪联华超市,玉山,https://you.ctrip.com/shopping/yushan1013/3122276.html,https://dimg04.c-ctrip.com/images/1005170000012c6c6854A_C_220_140.jpg,,江西省上饶市玉山县x648,25
好邻居便利店(南杂店),玉山,https://you.ctrip.com/shopping/yushan1013/3804947.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,上饶市玉山县,26
世纪华联超市(三清山店),玉山,https://you.ctrip.com/shopping/yushan1013/4083289.html,https://dimg04.c-ctrip.com/images/100e170000012cf25AFA3_C_220_140.jpg,,上饶市玉山县上饶地区的玉山和德兴两县交界处三清山风景名胜区内,27
老百姓超市,玉山,https://you.ctrip.com/shopping/yushan1013/4069819.html,https://dimg04.c-ctrip.com/images/1002170000012gr0a53DE_C_220_140.jpg,,江西省上饶市玉山县下镇镇下镇智慧幼儿园附近(下镇站西南),28
易捷便利店(华云·龙廷嘉园北),玉山,https://you.ctrip.com/shopping/yushan1013/4108305.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,江西省上饶市玉山县冰溪镇怀玉山大道红宝石广场A区附近,29
维客超市(博士大道),玉山,https://you.ctrip.com/shopping/yushan1013/3305402.html,https://dimg04.c-ctrip.com/images/100v1800000147ghu09D3_C_220_140.jpg,,博士大道与瑾山路交叉口东150米,30
三清山服务区-易捷便利店,玉山,https://you.ctrip.com/shopping/yushan1013/3425140.html,https://dimg04.c-ctrip.com/images/fd/tg/g2/M00/B3/FD/CghzgFW7TBSATVnsAABDmfHWiDE521_C_220_140.jpg,,上饶市玉山县,31
果唯伊水果超市(宏达店),玉山,https://you.ctrip.com/shopping/yushan1013/3280006.html,https://dimg04.c-ctrip.com/images/100c170000012cbcpD152_C_220_140.jpg,,冰溪镇金山大道3-43号宏达小区,32
