names,popularity,scores,links,imgs
灵渠,6.1,4.4,https://you.ctrip.com/sight/xingancounty722/2884.html,https://dimg04.c-ctrip.com/images/350615000000xgwsjFAF0_C_220_140.jpg
桂林融创海世界,6.0,4.6,https://you.ctrip.com/sight/guilin28/5715373.html,https://dimg04.c-ctrip.com/images/01012120008q45p19C886_C_220_140.jpg
刘三姐大观园,6.0,3.9,https://you.ctrip.com/sight/guilin28/50478.html,https://dimg04.c-ctrip.com/images/0103j120009nussq3F91A_C_220_140.jpg
冠岩,6.0,4.3,https://you.ctrip.com/sight/guilin28/6030.html,https://dimg04.c-ctrip.com/images/0101o120009d9u6sm9D7B_C_220_140.jpg
穿山景区,6.0,4.4,https://you.ctrip.com/sight/guilin28/50457.html,https://dimg04.c-ctrip.com/images/0105e120009417rsv6983_C_220_140.jpg
訾洲岛·观象山,5.9,4.8,https://you.ctrip.com/sight/guilin28/141699.html,https://dimg04.c-ctrip.com/images/0105k1200084aedhiAB9F_C_220_140.jpg
南溪山景区,5.9,4.3,https://you.ctrip.com/sight/guilin28/50286.html,https://dimg04.c-ctrip.com/images/01015120008iyrvye109D_C_220_140.jpg
金水岩,5.9,3.7,https://you.ctrip.com/sight/yangshuo702/50258.html,https://dimg04.c-ctrip.com/images/100u1f000001gq8q19541_C_220_140.jpg
聚龙潭,5.9,4.1,https://you.ctrip.com/sight/yangshuo702/48899.html,https://dimg04.c-ctrip.com/images/100s0z000000nnmwcB714_C_220_140.jpg
竹筏漂流,5.8,4.5,https://you.ctrip.com/sight/yangshuo702/70347858.html,https://dimg04.c-ctrip.com/images/0105n1200092m3pcs8D2F_C_220_140.jpg
阳朔公园,5.8,4.5,https://you.ctrip.com/sight/yangshuo702/48892.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M01/61/C7/CggYGVXMEiaAFyWaAAjHiQQ_XCs769_C_220_140.jpg
天籁·蝴蝶泉,5.8,4.1,https://you.ctrip.com/sight/yangshuo702/48898.html,https://dimg04.c-ctrip.com/images/tg/536/241/941/abccce775d494cd4b5e0d8bd14dcf1b5_C_220_140.jpg
桂林荔浦荔江湾,5.8,4.3,https://you.ctrip.com/sight/lipu2020/50486.html,https://dimg05.c-ctrip.com/images/100j0q000000gb03dF592_C_220_140.jpg
伏波山,5.8,4.3,https://you.ctrip.com/sight/guilin28/2883.html,https://dimg04.c-ctrip.com/images/0101t120008ukeft19ED6_C_220_140.jpg
桂林融创欢乐部落,5.7,4.4,https://you.ctrip.com/sight/guilin28/5715382.html,https://dimg04.c-ctrip.com/images/0106s120008pcspi8C68E_C_220_140.jpg
桂林西山景区,5.7,4.3,https://you.ctrip.com/sight/guilin28/141374.html,https://dimg02.c-ctrip.com/images/0102x120009ff8wwlBAC7_C_220_140.jpg
平安壮寨,5.6,4.6,https://you.ctrip.com/sight/longsheng1445120/107503.html,https://dimg04.c-ctrip.com/images/100c1f000001gsz1z1B9E_C_220_140.jpg
桂林融创水世界,5.6,4.4,https://you.ctrip.com/sight/guilin28/5715383.html,https://dimg04.c-ctrip.com/images/0106l120008qov2q9344E_C_220_140.jpg
