names,places,popularity,scores,links,imgs
元坝天台山,广元,2.6,4.2,https://you.ctrip.com/sight/cangxi3111/1835172.html,https://dimg04.c-ctrip.com/images/0103a12000ay2qirfAD6C_C_220_140.jpg
鹤鸣山道教造像,广元,2.6,5,https://you.ctrip.com/sight/jiange3115/5066618.html,https://dimg04.c-ctrip.com/images/0106p120008p0vf3z2929_C_220_140.jpg
菖溪河漂流旅游度假区,广元,2.6,3.7,https://you.ctrip.com/sight/guangyuan593/70526.html,https://dimg04.c-ctrip.com/images/010331200096c75w15FE8_C_220_140.png
昭化古城-敬候祠,广元,2.5,3.8,https://you.ctrip.com/sight/guangyuan593/5701224.html,https://dimg04.c-ctrip.com/images/0103j120008gh7x3r031D_C_220_140.jpg
苍王峡风景区,广元,2.5,,https://you.ctrip.com/sight/wangcang1446225/69560764.html,https://dimg04.c-ctrip.com/images/01A63120008x7pi8k4031_C_220_140.jpg
魏氏宅院,广元,4.1,4.6,https://you.ctrip.com/sight/ningqiang2731/5067308.html,https://dimg03.c-ctrip.com/images/100q11000000r8hcbDE61_C_220_140.jpg
龙潭子旅游区,广元,2.5,3,https://you.ctrip.com/sight/wangcang1446225/5073006.html,https://dimg04.c-ctrip.com/images/0103w12000879uifj0EE2_C_220_140.jpg
永隆百货精品步行街,广元,2.5,4.8,https://you.ctrip.com/sight/guangyuan593/5171046.html,https://dimg04.c-ctrip.com/images/100t1f000001fy31dF9AD_C_220_140.jpg
祟霞白塔,广元,2.4,3.5,https://you.ctrip.com/sight/cangxi3111/1713732.html,https://dimg04.c-ctrip.com/images/0102912000ay7kykuB62D_C_220_140.jpg
《葭萌春秋》演出,广元,2.4,4,https://you.ctrip.com/sight/guangyuan593/5717428.html,https://dimg04.c-ctrip.com/images/0105c120008xngfvvC0F2_C_220_140.jpg
5.12地震纪念馆,广元,2.4,,https://you.ctrip.com/sight/guangyuan593/4592216.html,https://dimg04.c-ctrip.com/images/0101n12000a0c04wlF413_C_220_140.jpg
石笋坪,广元,2.4,,https://you.ctrip.com/sight/guangyuan593/5072390.html,https://dimg04.c-ctrip.com/images/0104u12000965iwdeBAD8_C_220_140.jpg
三岔湖风景区,简阳,5.7,4.2,https://you.ctrip.com/sight/jianyang3122/135409.html,https://dimg04.c-ctrip.com/images/0103z120008ihjfry40EB_C_220_140.jpg
成都大熊猫繁育研究基地,简阳,9.6,4.6,https://you.ctrip.com/sight/chengdu104/4229.html,https://dimg04.c-ctrip.com/images/100910000000p33rk361D_C_220_140.jpg
武侯祠,简阳,8.8,4.5,https://you.ctrip.com/sight/chengdu104/4227.html,https://dimg04.c-ctrip.com/images/0104w1200094jgc7232B7_C_220_140.jpg
成都海昌极地海洋公园,简阳,8.1,4.8,https://you.ctrip.com/sight/chengdu104/85930.html,https://dimg04.c-ctrip.com/images/10031f000001gry9m2387_C_220_140.jpg
杜甫草堂,简阳,8.7,4.6,https://you.ctrip.com/sight/chengdu104/4226.html,https://dimg04.c-ctrip.com/images/0106k120008s8q2q0DB58_C_220_140.jpg
宽窄巷子,简阳,8.5,4.5,https://you.ctrip.com/sight/chengdu104/63456.html,https://dimg04.c-ctrip.com/images/100r1f000001gon9mBC5D_C_220_140.jpg
洛带古镇,简阳,7.3,4.4,https://you.ctrip.com/sight/chengdu104/49942.html,https://dimg02.c-ctrip.com/images/100612000000sefrhD823_C_220_140.jpg
锦里古街,简阳,8.4,4.5,https://you.ctrip.com/sight/chengdu104/48862.html,https://dimg04.c-ctrip.com/images/0105y1200086whywyF282_C_220_140.jpg
漫花庄园,简阳,8.4,4.5,https://you.ctrip.com/sight/chengdu104/1673197.html,https://dimg04.c-ctrip.com/images/1lo1712000b8dbutdE3D3_C_220_140.jpg
龙泉驿欢乐田园,简阳,6.4,4.9,https://you.ctrip.com/sight/chengdu104/133824677.html,https://dimg04.c-ctrip.com/images/1lo6h12000bcw12k9B050_C_220_140.jpg
成都博物馆,简阳,8.2,4.8,https://you.ctrip.com/sight/chengdu104/2006697.html,https://dimg04.c-ctrip.com/images/350j1c000001cpign4A54_C_220_140.jpg
金沙遗址博物馆,简阳,8.3,4.7,https://you.ctrip.com/sight/chengdu104/48863.html,https://dimg04.c-ctrip.com/images/10060z000000nmvc036BE_C_220_140.jpg
成都动物园,简阳,7.8,4.7,https://you.ctrip.com/sight/chengdu104/119895.html,https://dimg04.c-ctrip.com/images/10071f000001h6ysl2959_C_220_140.jpg
春熙路,简阳,7.7,4.6,https://you.ctrip.com/sight/chengdu104/138472.html,https://dimg04.c-ctrip.com/images/100410000000owden3387_C_220_140.jpg
蜀风雅韵川剧院,简阳,7.8,4.7,https://you.ctrip.com/sight/chengdu104/138459.html,https://dimg04.c-ctrip.com/images/350p1c000001cicdd66CC_C_220_140.jpg
成都欢乐谷,简阳,7.8,4.6,https://you.ctrip.com/sight/chengdu104/65834.html,https://dimg04.c-ctrip.com/images/0100i120008aim0tc16E9_C_220_140.jpg
环球中心海洋乐园,简阳,7.1,4.6,https://you.ctrip.com/sight/chengdu104/1407638.html,https://dimg04.c-ctrip.com/images/1lo1m12000b6ybg3x3984_C_220_140.jpg
成都环球中心,简阳,7.1,4.6,https://you.ctrip.com/sight/chengdu104/1483118.html,https://dimg04.c-ctrip.com/images/01007120008c4rn6t934D_C_220_140.jpg
《芙蓉国粹》变脸秀,简阳,7.1,4.7,https://you.ctrip.com/sight/chengdu104/138441.html,https://dimg04.c-ctrip.com/images/0101l1200091xx3nsD2FE_C_220_140.jpg
黄龙溪,简阳,7.7,4.5,https://you.ctrip.com/sight/chengdu104/22176.html,https://dimg04.c-ctrip.com/images/100t1f000001gqbf64560_C_220_140.jpg
成都欢乐谷,简阳,7.8,4.6,https://you.ctrip.com/sight/chengdu104/65834.html,https://dimg04.c-ctrip.com/images/0100i120008aim0tc16E9_C_220_140.jpg
三星堆博物馆,简阳,8.8,4.7,https://you.ctrip.com/sight/guanghan1349/48854.html,https://dimg04.c-ctrip.com/images/0104a1200094or0gy52D7_C_220_140.jpg
盖碗儿·梨园茶馆（川剧变脸表演...,简阳,7.2,4.8,https://you.ctrip.com/sight/chengdu104/2485565.html,https://dimg04.c-ctrip.com/images/100r1f000001gor1vDB5D_C_220_140.jpg
四川博物院,简阳,7.4,4.6,https://you.ctrip.com/sight/chengdu104/85913.html,https://dimg04.c-ctrip.com/images/0101s1200093pxu5nE11C_C_220_140.jpg
