names,places,links,imgs,scores,address,ranks
运气,普吉岛,https://you.ctrip.com/shopping/phuket364/1356129.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0B/B4/FD/CghzfFW7TBSADCwmAAA_QkCyQxc009_C_220_140.jpg,3.7,12-16 Rasda Rd.,38
MCM(King Power Srivaree Comple...,普吉岛,https://you.ctrip.com/shopping/phuket364/2502632.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M06/B4/1E/CghzfVW7TBeAA7aJAAA_9hhr3Vk862_C_220_140.jpg,4.6,88/88 Chao Fah Tawan Tok Road Muang Phuket 83000,39
Fe2Decor,普吉岛,https://you.ctrip.com/shopping/phuket364/1454720.html,https://dimg04.c-ctrip.com/images/fd/tg/g1/M0A/01/C3/CghzflW7TBeAZ2_iAABA4yZETpI233_C_220_140.jpg,4.8,"49/33 Boat Avenue, Baan Don-Cherngthalay Rd | Boat Avenue 49/33 Baan Don-Cherngthalay Rd.,Cherngthalay Sub-District, Thalang District, Phuket 83110, Choeng Thale, Phuket 83110, Thailand",40
Akaliko购物店(江西冷),普吉岛,https://you.ctrip.com/shopping/phuket364/1454646.html,https://dimg04.c-ctrip.com/images/100ihk133o7akgd8gAE2F_C_220_140.jpg,4.4,"Asian spirit zone,181 Rat-u-thit 200 Pee Road, Patong Kratu",41
曼谷包,普吉岛,https://you.ctrip.com/shopping/phuket364/1454598.html,https://dimg04.c-ctrip.com/images/1009190000016xho5EA2F_C_220_140.jpg,4.3,Jungceylon Patong,42
Yaya Phuket,普吉岛,https://you.ctrip.com/shopping/phuket364/1383789.html,https://dimg04.c-ctrip.com/images/100v0l000000cx0cd598A_C_220_140.jpg,4.5,"攀瓦角 88 Moo 8, Sakdidej Rd., Vichit, Muang",43
Big C Market,普吉岛,https://you.ctrip.com/shopping/phuket364/1454638.html,https://dimg04.c-ctrip.com/images/10050e00000076cs9250D_C_220_140.jpg,4.1,"Khok Yang Rd, Kathu, Phuket, Phuket 83120, Thailand",44
makro food service,普吉岛,https://you.ctrip.com/shopping/phuket364/1454630.html,https://dimg04.c-ctrip.com/images/100o1a0000018znr78991_C_220_140.jpg,4.7,197/1 197/2 Patak Road（Thai Smile）,45
鱼市,马累,https://you.ctrip.com/shopping/male57616/1448291.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M01/6E/B6/CggYG1aJ1BKAHWa4AAFst2yhFkc998_C_220_140.jpg,4.4,"Fish Market, Male",1
本地市场,马累,https://you.ctrip.com/shopping/male57616/1448239.html,https://dimg04.c-ctrip.com/images/1A0s17000001152oo49D0_C_220_140.jpg,4.4,"Local Market, Male",2
马累购物区,马累,https://you.ctrip.com/shopping/male57616/1448265.html,https://dimg04.c-ctrip.com/images/100h170000012uoz8D9A0_C_220_140.jpg,4.4,"Fareehee Magu, Male",3
Fantasy Store,马累,https://you.ctrip.com/shopping/male57616/1449283.html,https://dimg04.c-ctrip.com/images/fd/tg/g3/M06/2D/3C/CggYGlaUWgiAUMyFAAF_aJFU_X4699_C_220_140.jpg,4.5,"Fareedhee Magu, Malé 20214",4
STO贸易中心,马累,https://you.ctrip.com/shopping/male57616/107959.html,https://dimg06.c-ctrip.com/images/0ww3r12000adrextb8D1A_C_220_140.jpg,4.5,"Orchid Magu, Male",5
