names,places,links,imgs,popularity,scores,addresses
The Elizabeth Bridge,布达佩斯,https://you.ctrip.com/sight/budapest1109/1746124.html,https://dimg04.c-ctrip.com/images/0ww5h12000b8uw5ec25EC_C_220_140.jpg,4.1,4.3,"Budapest, Elizabeth Bridge, Hungary"
布达佩斯大屠杀纪念中心,布达佩斯,https://you.ctrip.com/sight/budapest1109/1697654.html,https://dimg04.c-ctrip.com/images/0ww5v12000a9pvwm589E1_C_220_140.jpg,3.9,4.2,"Pava utca 39, Budapest 1094, Hungary"
水城,布达佩斯,https://you.ctrip.com/sight/budapest1109/1482888.html,https://dimg04.c-ctrip.com/images/0101c120009hef4ul5D15_C_220_140.jpg,3.8,4.3,"Budapest, 1011"
Statue of St Stephen,布达佩斯,https://you.ctrip.com/sight/budapest1109/1742280.html,https://dimg04.c-ctrip.com/images/01003120009p7qzad12DE_C_220_140.jpg,3.8,4.5,Szentharomsag ter 5.
多洛嘉钻石宫殿,布达佩斯,https://you.ctrip.com/sight/budapest1109/1944230.html,https://dimg04.c-ctrip.com/images/10011f000001h39d3DF4B_C_220_140.jpg,3.8,4.4,"Dorotyya street 6. Budapest,"
布达佩斯蛋糕博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/1697740.html,https://dimg04.c-ctrip.com/images/10071f000001h6zr68A41_C_220_140.jpg,3.8,4.7,"Hess András tér 1-3., 1014 Budapest"
电话博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/1697737.html,https://dimg04.c-ctrip.com/images/100b1900000180afz9400_C_220_140.jpg,3.8,4.7,I Ãri utca 49
匈牙利军事历史博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/1482856.html,https://dimg04.c-ctrip.com/images/100j14000000w5ytc997D_C_220_140.jpg,3.7,4.3,"Budapest, Kapisztrán tér 2-4, Hungary"
布达佩斯应用艺术博物馆,布达佩斯,https://you.ctrip.com/sight/budapest1109/1483045.html,https://dimg04.c-ctrip.com/images/0103f120008jfck98E878_C_220_140.jpg,3.7,4.1,"Budapest, Üllői út 33-37, 1091"
布达佩斯轻歌剧院,布达佩斯,https://you.ctrip.com/sight/budapest1109/2261857.html,https://dimg07.c-ctrip.com/images/0ww3q12000ac9leksC3DC_C_220_140.jpg,3.7,4.7,"Nagymezo utca 17, Budapest 1065, Hungary"
Mupa Budapest,布达佩斯,https://you.ctrip.com/sight/budapest1109/2267061.html,https://dimg04.c-ctrip.com/images/0ww6u12000arnmbmu2994_C_220_140.jpg,3.6,5,"Komor Marcell Utca 1., Budapest 1095, Hungary"
贝伦塔,里斯本,https://you.ctrip.com/sight/belem1974929/137727.html,https://dimg04.c-ctrip.com/images/100v0s000000ik5esF37E_C_220_140.jpg,9.2,4.6,"Av. Brasilia, 1400-038 Lisbon"
佩纳宫,里斯本,https://you.ctrip.com/sight/saopedrodepenaferrim1974890/1675995.html,https://dimg06.c-ctrip.com/images/100k0s000000hlu1108C3_C_220_140.jpg,9.3,4.6,Estrada da Pena，2710-609 Sintra
热罗尼莫斯修道院,里斯本,https://you.ctrip.com/sight/belem1974929/137756.html,https://dimg04.c-ctrip.com/images/0100q120008ia9qdpEE63_C_220_140.jpg,8.7,4.7,"Praca do Imperio Belém, Lisbon 1400-206 Portugal"
阿尔法玛老城区,里斯本,https://you.ctrip.com/sight/lisbon574/137722.html,https://dimg04.c-ctrip.com/images/0102o120008i66n1b140F_C_220_140.jpg,8.2,4.5,"Alfama, 1100 Lisbon, Portugal"
